arrivaltime,exchangetime,exchangemillisec,ticker,latency
15956838609886,11:30:00,0,IC2209,32015
16153319197903,13:00:00,500,IC2209,2861
16153936216253,13:00:01,0,IC2209,2601
16154342723581,13:00:01,500,IC2209,3022
16154855020774,13:00:02,0,IC2209,3307
16155370215280,13:00:02,500,IC2209,2520
16155881728849,13:00:03,0,IC2209,3383
16156392543514,13:00:03,500,IC2209,3403
16156805010568,13:00:04,0,IC2209,2771
16157314646992,13:00:04,500,IC2209,3002
16157928646147,13:00:05,0,IC2209,3503
16158336027949,13:00:05,500,IC2209,3372
16158850724874,13:00:06,0,IC2209,1608
16159359306899,13:00:06,500,IC2209,2681
16159875240833,13:00:07,0,IC2209,2651
16160385122097,13:00:07,500,IC2209,3247
16160774211332,13:00:08,0,IC2209,3182
16161309377646,13:00:08,500,IC2209,2751
16161817893643,13:00:09,0,IC2209,3473
16162332148599,13:00:09,500,IC2209,2691
16162845016174,13:00:10,0,IC2209,2957
16163352877261,13:00:10,500,IC2209,3132
16163865282658,13:00:11,0,IC2209,4024
16164479215887,13:00:11,500,IC2209,3012
16164890245816,13:00:12,0,IC2209,2836
16165302028598,13:00:12,500,IC2209,2621
16165812390100,13:00:13,0,IC2209,3037
16166311463871,13:00:13,500,IC2209,3243
16166864398777,13:00:14,0,IC2209,3754
16167334432401,13:00:14,500,IC2209,2761
16167845311532,13:00:15,0,IC2209,2846
16168376932321,13:00:15,500,IC2209,2756
16168885476147,13:00:16,0,IC2209,40397
16169701554905,13:00:16,500,IC2209,2997
16169804706984,13:00:17,0,IC2209,3954
16170318409391,13:00:17,500,IC2209,3744
16170828084249,13:00:18,0,IC2209,3237
16171343550255,13:00:18,500,IC2209,2831
16171856248097,13:00:19,0,IC2209,5083
16172366803120,13:00:19,500,IC2209,3844
16172864853535,13:00:20,0,IC2209,2336
16173394042442,13:00:20,500,IC2209,2576
16173809036047,13:00:21,0,IC2209,2620
16174317173081,13:00:21,500,IC2209,3633
16174926252999,13:00:22,0,IC2209,3042
16175336320475,13:00:22,500,IC2209,3428
16175780415447,13:00:23,0,IC2209,3243
16176449617123,13:00:23,500,IC2209,2551
16176873756970,13:00:24,0,IC2209,3132
16177370250752,13:00:24,500,IC2209,2490
16177884100227,13:00:25,0,IC2209,3237
16178291477927,13:00:25,500,IC2209,2761
16178822791345,13:00:26,0,IC2209,2886
16179826096572,13:00:27,0,IC2209,3137
16180355390210,13:00:27,500,IC2209,2565
16180852177757,13:00:28,0,IC2209,3247
16181378580384,13:00:28,500,IC2209,3128
16181887785030,13:00:29,0,IC2209,3453
16182501315819,13:00:29,500,IC2209,3318
16182809211435,13:00:30,0,IC2209,2751
16183322523748,13:00:30,500,IC2209,2782
16184036681337,13:00:31,0,IC2209,1698
16184551544081,13:00:31,500,IC2209,3092
16184861263027,13:00:32,0,IC2209,3217
16185371981253,13:00:32,500,IC2209,3739
16185886548573,13:00:33,0,IC2209,2676
16186408325518,13:00:33,500,IC2209,2591
16186906900529,13:00:34,0,IC2209,2957
16187317567142,13:00:34,500,IC2209,3043
16187828903547,13:00:35,0,IC2209,2592
16188341037158,13:00:35,500,IC2209,3026
16188837470829,13:00:36,0,IC2209,2987
16189363266629,13:00:36,500,IC2209,2641
16189862294593,13:00:37,0,IC2209,2576
16190372579133,13:00:37,500,IC2209,3804
16190795228536,13:00:38,0,IC2209,2741
16191289775002,13:00:38,500,IC2209,2696
16191915141982,13:00:39,0,IC2209,2525
16192332977748,13:00:39,500,IC2209,2586
16192946416497,13:00:40,0,IC2209,3077
16193459854704,13:00:40,500,IC2209,2686
16194075289700,13:00:41,0,IC2209,2786
16194382847334,13:00:41,500,IC2209,107896
16195085065974,13:00:42,0,IC2209,2861
16195394044508,13:00:42,500,IC2209,3288
16195806190552,13:00:43,0,IC2209,4215
16196329662942,13:00:43,500,IC2209,2881
16196842003879,13:00:44,0,IC2209,3668
16197353705994,13:00:44,500,IC2209,26861
16197866037573,13:00:45,0,IC2209,2776
16198794959172,13:00:46,0,IC2209,4145
16200013761907,13:00:47,0,IC2209,3147
16200794217170,13:00:48,0,IC2209,2982
16202877927397,13:00:50,0,IC2209,2641
16203382253580,13:00:50,500,IC2209,3087
16204007307200,13:00:51,0,IC2209,3343
16204301823432,13:00:51,500,IC2209,2651
16204812408349,13:00:52,0,IC2209,2741
16206363518343,13:00:53,500,IC2209,2526
16206875492020,13:00:54,0,IC2209,2536
16207387162807,13:00:54,500,IC2209,2475
16207900085060,13:00:55,0,IC2209,4309
16208411238677,13:00:55,500,IC2209,2631
16209026929809,13:00:56,0,IC2209,3052
16209335663031,13:00:56,500,IC2209,3728
16209797614999,13:00:57,0,IC2209,2786
16210343381928,13:00:57,500,IC2209,2716
16210868450783,13:00:58,0,IC2209,3153
16211387244743,13:00:58,500,IC2209,3187
16211891954264,13:00:59,0,IC2209,4485
16212401790486,13:00:59,500,IC2209,2922
16212914923500,13:01:00,0,IC2209,2631
16213428801910,13:01:00,500,IC2209,3036
16213822854647,13:01:01,0,IC2209,3669
16214335734076,13:01:01,500,IC2209,2612
16214862218128,13:01:02,0,IC2209,2956
16215681044893,13:01:02,500,IC2209,2630
16215887091120,13:01:03,0,IC2209,2576
16216604392487,13:01:03,500,IC2209,3578
16216910253264,13:01:04,0,IC2209,4145
16217419704676,13:01:04,500,IC2209,2556
16217831648076,13:01:05,0,IC2209,3132
16218331227059,13:01:05,500,IC2209,3513
16218959466386,13:01:06,0,IC2209,2721
16219356135216,13:01:06,500,IC2209,4085
16219865692220,13:01:07,0,IC2209,2581
16220494379698,13:01:07,500,IC2209,3017
16220808918509,13:01:08,0,IC2209,3473
16221412035977,13:01:08,500,IC2209,2721
16221925625348,13:01:09,0,IC2209,3118
16222440282964,13:01:09,500,IC2209,3919
16222849176338,13:01:10,0,IC2209,2997
16223358831050,13:01:10,500,IC2209,2902
16223859273901,13:01:11,0,IC2209,3408
16224384194476,13:01:11,500,IC2209,3654
16224893873001,13:01:12,0,IC2209,3939
16225406846154,13:01:12,500,IC2209,3248
16226031257521,13:01:13,0,IC2209,1688
