arrivaltime,exchangetime,exchangemillisec,ticker,latency
15946035834121,11:30:00,0,IF2207,31565
16153319107707,13:00:00,500,IF2207,4134
16153936173385,13:00:01,0,IF2207,3864
16154342584859,13:00:01,500,IF2207,3714
16154854847668,13:00:02,0,IF2207,8594
16155370122959,13:00:02,500,IF2207,3538
16155881681957,13:00:03,0,IF2207,3758
16156392122101,13:00:03,500,IF2207,2847
16156801997316,13:00:04,0,IF2207,3358
16157314515101,13:00:04,500,IF2207,3122
16157928675173,13:00:05,0,IF2207,3478
16158335854888,13:00:05,500,IF2207,3297
16158850704522,13:00:06,0,IF2207,1666
16159359224430,13:00:06,500,IF2207,3874
16159874830209,13:00:07,0,IF2207,3017
16160384795781,13:00:07,500,IF2207,2877
16160766724456,13:00:08,0,IF2207,3763
16161309237135,13:00:08,500,IF2207,4400
16161816063009,13:00:09,0,IF2207,4866
16162332098941,13:00:09,500,IF2207,3673
16162844102065,13:00:10,0,IF2207,2977
16163352110879,13:00:10,500,IF2207,4856
16163865316881,13:00:11,0,IF2207,3563
16164479079991,13:00:11,500,IF2207,3273
16164890161388,13:00:12,0,IF2207,3277
16165301832931,13:00:12,500,IF2207,3843
16165812360748,13:00:13,0,IF2207,3503
16166311266299,13:00:13,500,IF2207,7989
16166864427598,13:00:14,0,IF2207,3538
16167334389934,13:00:14,500,IF2207,3433
16167845186837,13:00:15,0,IF2207,4360
16168376810673,13:00:15,500,IF2207,3417
16168885357802,13:00:16,0,IF2207,3838
16169701409262,13:00:16,500,IF2207,3388
16169804694360,13:00:17,0,IF2207,4456
16170318346794,13:00:17,500,IF2207,6078
16170827762043,13:00:18,0,IF2207,5307
16171343453769,13:00:18,500,IF2207,3513
16171855833627,13:00:19,0,IF2207,28210
16172366823281,13:00:19,500,IF2207,3443
16172864721168,13:00:20,0,IF2207,3638
16173393964534,13:00:20,500,IF2207,4225
16173808912434,13:00:21,0,IF2207,3709
16174317027193,13:00:21,500,IF2207,3508
16174926170340,13:00:22,0,IF2207,3554
16175336344420,13:00:22,500,IF2207,3789
16175774546794,13:00:23,0,IF2207,2922
16176449543901,13:00:23,500,IF2207,3894
16176872901549,13:00:24,0,IF2207,3063
16177370205233,13:00:24,500,IF2207,3548
16177883903582,13:00:25,0,IF2207,3894
16178291381196,13:00:25,500,IF2207,3763
16178819233828,13:00:26,0,IF2207,2987
16179332889511,13:00:26,500,IF2207,4967
