arrivaltime,exchangetime,exchangemillisec,ticker,latency
20640769124373,13:58:09,700,IF2207,13955
20641175352839,13:58:10,200,IF2207,1336
20641698206267,13:58:10,700,IF2207,1347
20641778509987,13:58:10,700,IF2208,1441
20642210206607,13:58:11,200,IF2207,1683
20642210215911,13:58:11,200,IF2208,206
20642722536117,13:58:11,700,IF2207,1233
20642722540788,13:58:11,700,IF2208,257
20642767353059,13:58:10,700,IF2209,1439
20643438663614,13:58:12,200,IF2209,1256
20643759321707,13:58:12,700,IF2207,1383
20643759327059,13:58:12,700,IF2209,262
20643767780619,13:58:08,700,IF2212,1461
20644259059751,13:58:13,200,IF2207,1646
20644259093813,13:58:13,200,IF2208,362
20644259105179,13:58:13,200,IF2209,260
20645374289864,13:58:14,200,IF2207,1221
20645374293673,13:58:14,200,IF2208,196
20645693517158,13:58:14,700,IF2208,1376
20646192361022,13:58:15,200,IF2207,1158
20646192364523,13:58:15,200,IF2209,268
20646714522799,13:58:15,700,IF2212,1472
20646714527633,13:58:15,700,IF2207,246
20646714531780,13:58:15,700,IF2208,237
20646714533590,13:58:15,700,IF2209,194
20647229649734,13:58:16,200,IF2212,2198
20647229878179,13:58:16,200,IF2207,604
20647229881938,13:58:16,200,IF2208,206
20647229886469,13:58:16,200,IF2209,183
20647740201870,13:58:16,700,IF2212,1566
20647740757918,13:58:16,700,IF2207,653
20647740761437,13:58:16,700,IF2208,232
20647740765421,13:58:16,700,IF2209,217
20648239541247,13:58:17,200,IF2212,1531
20648239778095,13:58:17,200,IF2207,573
20648239805565,13:58:17,200,IF2208,288
20648239810086,13:58:17,200,IF2209,207
20648764889208,13:58:17,700,IF2212,1457
20648764893359,13:58:17,700,IF2207,6967
20648764904108,13:58:17,700,IF2208,237
20648764926659,13:58:17,700,IF2209,249
20649575245884,13:58:18,200,IF2207,2192
20649793863436,13:58:18,700,IF2207,902
20650153306894,13:58:19,200,IF2207,1196
20650153310390,13:58:19,200,IF2208,207
20650201036552,13:58:19,200,IF2209,2169
20650709200513,13:58:19,700,IF2212,1383
20650712456169,13:58:19,700,IF2207,854
20650712463341,13:58:19,700,IF2208,163
20650712465754,13:58:19,700,IF2209,220
20651149770467,13:58:20,200,IF2212,1222
20651151301715,13:58:20,200,IF2207,574
20651155508943,13:58:20,200,IF2209,1071
20651833493674,13:58:20,700,IF2207,1645
20651833498021,13:58:20,700,IF2208,198
20651833500209,13:58:20,700,IF2209,204
20652149895357,13:58:21,200,IF2212,1169
20652155296699,13:58:21,200,IF2207,881
20652155300789,13:58:21,200,IF2208,218
20652161211527,13:58:21,200,IF2209,1046
20652859836689,13:58:21,700,IF2212,1906
20652859846173,13:58:21,700,IF2207,304
20652859869204,13:58:21,700,IF2208,262
20652859878138,13:58:21,700,IF2209,224
20653163508668,13:58:22,200,IF2207,1759
20653170493619,13:58:22,200,IF2208,1061
20653172149424,13:58:22,200,IF2209,741
20653678536338,13:58:22,700,IF2207,1484
20653678541734,13:58:22,700,IF2208,184
20653679642857,13:58:22,700,IF2209,908
20654188080765,13:58:23,200,IF2207,2598
20654188087558,13:58:23,200,IF2208,254
20654188092512,13:58:23,200,IF2209,264
20654701207442,13:58:23,700,IF2207,2025
20654701215935,13:58:23,700,IF2208,321
20654701218706,13:58:23,700,IF2209,236
20655213585382,13:58:24,200,IF2207,1338
20655214118171,13:58:24,200,IF2208,777
20655214978709,13:58:24,200,IF2209,497
20655725439320,13:58:24,700,IF2207,1782
20656243033205,13:58:25,200,IF2207,1294
20656750392187,13:58:25,700,IF2207,1505
20656750410738,13:58:25,700,IF2209,313
20657262931699,13:58:26,200,IF2207,1629
20657772883431,13:58:26,700,IF2207,1350
20657773155648,13:58:26,700,IF2209,770
20658173153812,13:58:27,200,IF2207,1309
20658173195266,13:58:27,200,IF2208,603
20658173200460,13:58:27,200,IF2209,336
20658697134396,13:58:27,700,IF2207,9230
20658697741950,13:58:27,700,IF2209,845
20659207996104,13:58:28,200,IF2209,1265
20659824804830,13:58:28,700,IF2207,1238
20659824809884,13:58:28,700,IF2209,251
20660229957417,13:58:29,200,IF2207,917
20660229971661,13:58:29,200,IF2209,266
20660846298505,13:58:29,700,IF2209,1367
20661257911552,13:58:30,200,IF2208,2062
20661257917152,13:58:30,200,IF2209,277
20661766912914,13:58:30,700,IF2207,869
20661767402145,13:58:30,700,IF2209,697
20662176301212,13:58:31,200,IF2207,696
20662176852544,13:58:31,200,IF2209,960
20662689396745,13:58:31,700,IF2207,1012
20663200010025,13:58:32,200,IF2207,980
20663200019690,13:58:32,200,IF2209,465
20663814978934,13:58:32,700,IF2212,1022
20663815005629,13:58:32,700,IF2207,555
20663815184342,13:58:32,700,IF2209,712
20664532655308,13:58:33,200,IF2207,861
20664532667612,13:58:33,200,IF2208,428
20664532673629,13:58:33,200,IF2209,270
20664737542741,13:58:33,700,IF2212,696
20665251773377,13:58:34,200,IF2208,827
20665761865898,13:58:34,700,IF2207,683
20666375211507,13:58:35,200,IF2207,689
20666376498619,13:58:35,200,IF2208,834
20666376503624,13:58:35,200,IF2209,262
20666687734790,13:58:35,700,IF2207,922
20666687740614,13:58:35,700,IF2208,252
20667491608380,13:58:36,200,IF2212,751
20667492114319,13:58:36,200,IF2207,924
20667492137453,13:58:36,200,IF2208,816
20667492144021,13:58:36,200,IF2209,265
20667707249459,13:58:36,700,IF2212,916
20667714887690,13:58:36,700,IF2207,1012
20667714893002,13:58:36,700,IF2208,259
20667714898427,13:58:36,700,IF2209,259
20668205395790,13:58:37,200,IF2212,905
20668206588641,13:58:37,200,IF2207,924
20668206593175,13:58:37,200,IF2208,273
20668206614163,13:58:37,200,IF2209,556
20668730300067,13:58:37,700,IF2212,960
20668730311654,13:58:37,700,IF2207,344
20668730317012,13:58:37,700,IF2208,248
20668730620885,13:58:37,700,IF2209,741
20669162035551,13:58:38,200,IF2212,700
20669185899155,13:58:38,200,IF2207,890
20669186589982,13:58:38,200,IF2208,763
20669186593199,13:58:38,200,IF2209,4930
20669754045045,13:58:38,700,IF2212,932
20669754052912,13:58:38,700,IF2207,307
20669754102409,13:58:38,700,IF2208,1019
20669754334587,13:58:38,700,IF2209,868
20670266607377,13:58:39,200,IF2212,950
20670266613235,13:58:39,200,IF2207,278
20670267082083,13:58:39,200,IF2208,709
20670267085313,13:58:39,200,IF2209,278
20670674929647,13:58:39,700,IF2212,1076
20670674949284,13:58:39,700,IF2207,421
20670674952615,13:58:39,700,IF2208,260
20670675866269,13:58:39,700,IF2209,961
20671188703325,13:58:40,200,IF2212,1361
20671188709660,13:58:40,200,IF2207,351
20671188712841,13:58:40,200,IF2208,219
20671188736038,13:58:40,200,IF2209,735
20671802624456,13:58:40,700,IF2209,906
20672302987384,13:58:41,200,IF2212,894
20672302994264,13:58:41,200,IF2207,297
20672302996759,13:58:41,200,IF2209,221
20672723246061,13:58:41,700,IF2212,707
20672723714078,13:58:41,700,IF2207,846
20672723718642,13:58:41,700,IF2208,293
20672723723112,13:58:41,700,IF2209,291
20673151557130,13:58:42,200,IF2212,744
20673170482365,13:58:42,200,IF2207,889
20673171809775,13:58:42,200,IF2208,822
20673180533699,13:58:42,200,IF2209,878
20673775406790,13:58:42,700,IF2212,908
20673775410904,13:58:42,700,IF2207,283
20673775415434,13:58:42,700,IF2209,219
20674261657248,13:58:43,200,IF2207,1050
20674261674721,13:58:43,200,IF2209,494
20674770768021,13:58:43,700,IF2207,901
20674770787901,13:58:43,700,IF2208,513
20674770792085,13:58:43,700,IF2209,325
20675179427357,13:58:44,200,IF2212,809
20675180064059,13:58:44,200,IF2207,911
20675180068728,13:58:44,200,IF2208,241
20675180073912,13:58:44,200,IF2209,301
20675693698220,13:58:44,700,IF2212,697
20675694429360,13:58:44,700,IF2207,833
20675694433181,13:58:44,700,IF2208,216
20675695411607,13:58:44,700,IF2209,878
20676207772919,13:58:45,200,IF2212,942
20676207779593,13:58:45,200,IF2207,320
20676207783870,13:58:45,200,IF2208,303
20676207804784,13:58:45,200,IF2209,440
20676717446457,13:58:45,700,IF2212,702
20676718765765,13:58:45,700,IF2207,829
20676718769702,13:58:45,700,IF2209,4626
20677231617491,13:58:46,200,IF2212,1190
20677231646178,13:58:46,200,IF2207,561
20677231652671,13:58:46,200,IF2208,230
20677231663064,13:58:46,200,IF2209,410
20677742371562,13:58:46,700,IF2207,917
20677742375264,13:58:46,700,IF2208,236
20677744808771,13:58:46,700,IF2209,862
20678457998583,13:58:47,200,IF2207,888
20678458004284,13:58:47,200,IF2209,310
20678767142567,13:58:47,700,IF2207,882
20678767146085,13:58:47,700,IF2209,311
20679180162642,13:58:48,200,IF2212,941
20679180171769,13:58:48,200,IF2207,325
20679180193523,13:58:48,200,IF2208,521
20679683726854,13:58:48,700,IF2207,869
20679683730769,13:58:48,700,IF2209,314
20680405342240,13:58:49,200,IF2207,745
20680710254415,13:58:49,700,IF2212,1023
20680710262491,13:58:49,700,IF2207,303
20680710265346,13:58:49,700,IF2208,255
20680710267514,13:58:49,700,IF2209,238
20681152905742,13:58:50,200,IF2212,699
20681162861044,13:58:50,200,IF2207,906
20681162866740,13:58:50,200,IF2208,262
20681162883173,13:58:50,200,IF2209,497
20681734882265,13:58:50,700,IF2207,863
20681734888208,13:58:50,700,IF2209,516
20682246836588,13:58:51,200,IF2207,848
20682246842423,13:58:51,200,IF2209,306
20682759353723,13:58:51,700,IF2207,688
20682759356456,13:58:51,700,IF2208,204
20682759917006,13:58:51,700,IF2209,917
