arrivaltime,exchangetime,exchangemillisec,ticker,latency
13803979459358,11:30:00,400,IF2208,44614
15455396098250,13:00:00,400,IF2208,5328
15455895699305,13:00:00,900,IF2208,4400
15456522130115,13:00:01,400,IF2208,2756
15456932408995,13:00:01,900,IF2208,3488
15457445585356,13:00:02,400,IF2208,3052
15457960210505,13:00:02,900,IF2208,2531
15458471800308,13:00:03,400,IF2208,2786
15458980338896,13:00:03,900,IF2208,3819
15459493792117,13:00:04,400,IF2208,4050
15460004964021,13:00:04,900,IF2208,2771
15460415982410,13:00:05,400,IF2208,6159
15460926014719,13:00:05,900,IF2208,2760
15461439197739,13:00:06,400,IF2208,2682
15461951143886,13:00:06,900,IF2208,3227
15462462870438,13:00:07,400,IF2208,2962
15462973779489,13:00:07,900,IF2208,2952
15463487686968,13:00:08,400,IF2208,3458
15463999906411,13:00:08,900,IF2208,2762
15464410198773,13:00:09,400,IF2208,2831
15464919307816,13:00:09,900,IF2208,2857
15465433731327,13:00:10,400,IF2208,2947
15465943726957,13:00:10,900,IF2208,4921
15466455976459,13:00:11,400,IF2208,18578
15466967411317,13:00:11,900,IF2208,2681
15467479404787,13:00:12,400,IF2208,4326
15467993352353,13:00:12,900,IF2208,2796
15468504179410,13:00:13,400,IF2208,6479
15468914633395,13:00:13,900,IF2208,2832
15469424626590,13:00:14,400,IF2208,2406
15469936817739,13:00:14,900,IF2208,4410
15470450094946,13:00:15,400,IF2208,2746
15470964244251,13:00:15,900,IF2208,4981
15471478786461,13:00:16,400,IF2208,2837
15471985267074,13:00:16,900,IF2208,2907
15472497025623,13:00:17,400,IF2208,3082
15473009119332,13:00:17,900,IF2208,5603
15473418683312,13:00:18,400,IF2208,5753
15473930830813,13:00:18,900,IF2208,46773
15474442978567,13:00:19,400,IF2208,2691
15474955658410,13:00:19,900,IF2208,2569
15475466490536,13:00:20,400,IF2208,6134
15476080856973,13:00:20,900,IF2208,2841
15476493677693,13:00:21,400,IF2208,2962
15477007516002,13:00:21,900,IF2208,2836
15477417218537,13:00:22,400,IF2208,2977
15477923889577,13:00:22,900,IF2208,3103
15478438027818,13:00:23,400,IF2208,2531
15478948962721,13:00:23,900,IF2208,3383
15479460060914,13:00:24,400,IF2208,6059
