arrivaltime,exchangetime,exchangemillisec,ticker,latency
475765886014,07:05:03,200,IF2208,53960
3589165731914,09:29:00,200,IF2208,6765
3649170754297,09:30:00,200,IF2208,4173
3649682896229,09:30:00,700,IF2208,2589
3650198195966,09:30:01,200,IF2208,4621
3650710945731,09:30:01,700,IF2208,3669
3651221490609,09:30:02,200,IF2208,4591
3651731868909,09:30:02,700,IF2208,2877
3652246301253,09:30:03,200,IF2208,3528
3652755084857,09:30:03,700,IF2208,4560
3653167050539,09:30:04,200,IF2208,2841
3653677845691,09:30:04,700,IF2208,6870
3654191480650,09:30:05,200,IF2208,4836
3654701606465,09:30:05,700,IF2208,3649
3655212757708,09:30:06,200,IF2208,4062
3655728293709,09:30:06,700,IF2208,2374
3656240793519,09:30:07,200,IF2208,6165
3656748351191,09:30:07,700,IF2208,3849
3657262514487,09:30:08,200,IF2208,5307
3657670484580,09:30:08,700,IF2208,3905
3658185922302,09:30:09,200,IF2208,3503
3658697564711,09:30:09,700,IF2208,2561
3659208366963,09:30:10,200,IF2208,2872
3659717711176,09:30:10,700,IF2208,4631
3660157918448,09:30:11,200,IF2208,2701
3660744557979,09:30:11,700,IF2208,3964
3661253833655,09:30:12,200,IF2208,4374
3661766697745,09:30:12,700,IF2208,3443
3662178676430,09:30:13,200,IF2208,1313
3662894111800,09:30:13,700,IF2208,1552
3663202207791,09:30:14,200,IF2208,3929
3663714705853,09:30:14,700,IF2208,2646
3664227911501,09:30:15,200,IF2208,2801
3664737462371,09:30:15,700,IF2208,4215
3665251610589,09:30:16,200,IF2208,2631
3665760840445,09:30:16,700,IF2208,6119
3666272232062,09:30:17,200,IF2208,2616
3666685055645,09:30:17,700,IF2208,4410
3667192986640,09:30:18,200,IF2208,32986
3667708613385,09:30:18,700,IF2208,3803
3668222464499,09:30:19,200,IF2208,6174
3668729971398,09:30:19,700,IF2208,2139
3669244673683,09:30:20,200,IF2208,1781
3669754141992,09:30:20,700,IF2208,2686
3670228958944,09:30:21,200,IF2208,2361
3670676577387,09:30:21,700,IF2208,5352
3671187722918,09:30:22,200,IF2208,5638
3671700306061,09:30:22,700,IF2208,3658
3672214528137,09:30:23,200,IF2208,2826
3672726881659,09:30:23,700,IF2208,3167
3673234677098,09:30:24,200,IF2208,4375
3673849686802,09:30:24,700,IF2208,4551
3674261954171,09:30:25,200,IF2208,4726
3674774424223,09:30:25,700,IF2208,2922
3675180343569,09:30:26,200,IF2208,4971
3675694732180,09:30:26,700,IF2208,3623
3676210466910,09:30:27,200,IF2208,2942
3676718385409,09:30:27,700,IF2208,3217
3677228100090,09:30:28,200,IF2208,3270
3677741994404,09:30:28,700,IF2208,4450
3678255735497,09:30:29,200,IF2208,2596
3678764621498,09:30:29,700,IF2208,2917
3679279918857,09:30:30,200,IF2208,2666
3679690262272,09:30:30,700,IF2208,4651
3680200602515,09:30:31,200,IF2208,3247
3680709986469,09:30:31,700,IF2208,2841
3681224616990,09:30:32,200,IF2208,3844
3681734166774,09:30:32,700,IF2208,2836
3682250999316,09:30:33,200,IF2208,2861
3682662912215,09:30:33,700,IF2208,3418
3683272204667,09:30:34,200,IF2208,2473
3683684472678,09:30:34,700,IF2208,2772
3684194784739,09:30:35,200,IF2208,3929
3684709744499,09:30:35,700,IF2208,2817
3685234204241,09:30:36,200,IF2208,4470
3685730236741,09:30:36,700,IF2208,4276
3686242033767,09:30:37,200,IF2208,5593
3686753686677,09:30:37,700,IF2208,3859
3687265127942,09:30:38,200,IF2208,4255
3687677059027,09:30:38,700,IF2208,2902
3688186828447,09:30:39,200,IF2208,2666
3688698096663,09:30:39,700,IF2208,5398
3689211899676,09:30:40,200,IF2208,2743
3689723423562,09:30:40,700,IF2208,2145
3690235030169,09:30:41,200,IF2208,6770
3690748372551,09:30:41,700,IF2208,2852
3691260769072,09:30:42,200,IF2208,4220
3691772568375,09:30:42,700,IF2208,3172
3692179814298,09:30:43,200,IF2208,17550
3692692516814,09:30:43,700,IF2208,3452
3693204440344,09:30:44,200,IF2208,3217
3693714788583,09:30:44,700,IF2208,2922
3694227048870,09:30:45,200,IF2208,4701
3694743054454,09:30:45,700,IF2208,5383
3695254006610,09:30:46,200,IF2208,4831
3695831944954,09:30:46,700,IF2208,4997
3696169835190,09:30:47,200,IF2208,3473
3696688439436,09:30:47,700,IF2208,2776
3697199920464,09:30:48,200,IF2208,4365
3697711473494,09:30:48,700,IF2208,18849
3698225990163,09:30:49,200,IF2208,5483
3698732208879,09:30:49,700,IF2208,2641
3699247522024,09:30:50,200,IF2208,4836
3699759295508,09:30:50,700,IF2208,4059
3700234022430,09:30:51,200,IF2208,3227
3700782092059,09:30:51,700,IF2208,6149
3701191437416,09:30:52,200,IF2208,3609
3701704520195,09:30:52,700,IF2208,5257
3702216094088,09:30:53,200,IF2208,2490
3702731122108,09:30:53,700,IF2208,2856
3703239137173,09:30:54,200,IF2208,2298
3703752959254,09:30:54,700,IF2208,5568
3704263347008,09:30:55,200,IF2208,2741
3704774840072,09:30:55,700,IF2208,6019
3705287963686,09:30:56,200,IF2208,3758
3705697723137,09:30:56,700,IF2208,2661
3706210264810,09:30:57,200,IF2208,4324
3706720930651,09:30:57,700,IF2208,6665
3707231625551,09:30:58,200,IF2208,2921
3707748082269,09:30:58,700,IF2208,4726
3708257084196,09:30:59,200,IF2208,2691
3708769409854,09:30:59,700,IF2208,2922
3709280554190,09:31:00,200,IF2208,3067
3709796980700,09:31:00,700,IF2208,6340
3710204044007,09:31:01,200,IF2208,4420
3710716245315,09:31:01,700,IF2208,4986
3711225836026,09:31:02,200,IF2208,3418
3711738335733,09:31:02,700,IF2208,5463
3712252260117,09:31:03,200,IF2208,4781
3712765548393,09:31:03,700,IF2208,4370
3713275107913,09:31:04,200,IF2208,2787
3713786609886,09:31:04,700,IF2208,3011
3714197465206,09:31:05,200,IF2208,2941
3714706520835,09:31:05,700,IF2208,5172
3715222853393,09:31:06,200,IF2208,1373
3715731293516,09:31:06,700,IF2208,2269
3716242366336,09:31:07,200,IF2208,4763
3716759455578,09:31:07,700,IF2208,2342
3717270271096,09:31:08,200,IF2208,3684
3717780554285,09:31:08,700,IF2208,20507
3718292233940,09:31:09,200,IF2208,3999
3718700254536,09:31:09,700,IF2208,2846
3719213225316,09:31:10,200,IF2208,2942
3719726532617,09:31:10,700,IF2208,5141
3720238942093,09:31:11,200,IF2208,2641
3720749349998,09:31:11,700,IF2208,4671
3721260308717,09:31:12,200,IF2208,2534
3721772130601,09:31:12,700,IF2208,3568
3722287505289,09:31:13,200,IF2208,4145
3722798560084,09:31:13,700,IF2208,5528
3723205921133,09:31:14,200,IF2208,2746
3723719993657,09:31:14,700,IF2208,2806
3724232460132,09:31:15,200,IF2208,3568
3724846937297,09:31:15,700,IF2208,4215
3725257390368,09:31:16,200,IF2208,5748
3725768241563,09:31:16,700,IF2208,5599
3726278697952,09:31:17,200,IF2208,5112
3726792063318,09:31:17,700,IF2208,2881
3727202608435,09:31:18,200,IF2208,4551
3727712611587,09:31:18,700,IF2208,4317
3728224284909,09:31:19,200,IF2208,3283
3728735180842,09:31:19,700,IF2208,5077
3729248814684,09:31:20,200,IF2208,4259
3729761635574,09:31:20,700,IF2208,4796
3730234209184,09:31:21,200,IF2208,3102
3730784374088,09:31:21,700,IF2208,4220
3731298403467,09:31:22,200,IF2208,2886
3731707355071,09:31:22,700,IF2208,2847
3732220220437,09:31:23,200,IF2208,4130
3732684198172,09:31:23,700,IF2208,3774
3733246221730,09:31:24,200,IF2208,2590
3733756168965,09:31:24,700,IF2208,2553
3734269294035,09:31:25,200,IF2208,3433
3734777134296,09:31:25,700,IF2208,2736
3735292143191,09:31:26,200,IF2208,4455
3735701808793,09:31:26,700,IF2208,3228
