arrivaltime,exchangetime,exchangemillisec,ticker,latency
15934704478742,11:30:00,0,IF2207,23637
15935674934660,11:30:00,0,IC2209,2921
16153319166862,13:00:00,500,IF2207,2761
16153319194630,13:00:00,500,IC2209,822
16153936078548,13:00:01,0,IF2207,3152
16153936140013,13:00:01,0,IC2209,642
16154342391728,13:00:01,500,IF2207,2771
16154342642015,13:00:01,500,IC2209,2065
16154854883565,13:00:02,0,IF2207,2671
16154854894695,13:00:02,0,IC2209,797
16155369867921,13:00:02,500,IF2207,2946
16155370097896,13:00:02,500,IC2209,1369
16155880710642,13:00:03,0,IF2207,4149
16155881691644,13:00:03,0,IC2209,2090
16156392510288,13:00:03,500,IF2207,2676
16156392521494,13:00:03,500,IC2209,631
16156801983314,13:00:04,0,IF2207,2887
16156805065924,13:00:04,0,IC2209,3072
16157313936378,13:00:04,500,IF2207,2802
16157314546633,13:00:04,500,IC2209,2155
16157928375107,13:00:05,0,IF2207,2812
16157928579059,13:00:05,0,IC2209,1237
16158335814661,13:00:05,500,IF2207,2781
16158335846444,13:00:05,500,IC2209,646
16158849823432,13:00:06,0,IF2207,3263
16158850711909,13:00:06,0,IC2209,940
16159358726172,13:00:06,500,IF2207,3232
16159359267243,13:00:06,500,IC2209,2631
16159875131343,13:00:07,0,IF2207,2616
16159875205898,13:00:07,0,IC2209,1022
16160385036161,13:00:07,500,IF2207,2611
16160385046379,13:00:07,500,IC2209,626
16160767027293,13:00:08,0,IF2207,2641
16160772979311,13:00:08,0,IC2209,2897
16161308288642,13:00:08,500,IF2207,2792
16161309301687,13:00:08,500,IC2209,3293
16161816102559,13:00:09,0,IF2207,3904
16161817893603,13:00:09,0,IC2209,3307
16162331426669,13:00:09,500,IF2207,19214
16162332115844,13:00:09,500,IC2209,2095
16162844101529,13:00:10,0,IF2207,2651
16162845070123,13:00:10,0,IC2209,2806
16163352115099,13:00:10,500,IF2207,2701
16163352824761,13:00:10,500,IC2209,3207
16163864658711,13:00:11,0,IF2207,3092
16163865298965,13:00:11,0,IC2209,2079
16164479068756,13:00:11,500,IF2207,2836
16164479080212,13:00:11,500,IC2209,687
16164889884976,13:00:12,0,IF2207,3779
16164890213076,13:00:12,0,IC2209,2115
16165301877142,13:00:12,500,IF2207,2536
16165302037373,13:00:12,500,IC2209,2075
16165812276866,13:00:13,0,IF2207,2832
16165812358102,13:00:13,0,IC2209,1022
16166310530663,13:00:13,500,IF2207,2832
16166311289658,13:00:13,500,IC2209,2796
16166864237909,13:00:14,0,IF2207,2747
16166864401057,13:00:14,0,IC2209,2115
16167334307360,13:00:14,500,IF2207,2862
16167334339589,13:00:14,500,IC2209,822
16167845241416,13:00:15,0,IF2207,3313
16167845259017,13:00:15,0,IC2209,721
16168376728044,13:00:15,500,IF2207,2741
16168376748846,13:00:15,500,IC2209,722
16168884720721,13:00:16,0,IF2207,3011
16168885474739,13:00:16,0,IC2209,2491
16169701400577,13:00:16,500,IF2207,2771
16169701410465,13:00:16,500,IC2209,631
16169804391072,13:00:17,0,IF2207,2982
16169804671578,13:00:17,0,IC2209,2095
16170317706430,13:00:17,500,IF2207,3508
16170318372948,13:00:17,500,IC2209,3183
16170828064153,13:00:18,0,IF2207,3418
16170828077955,13:00:18,0,IC2209,636
16171342761818,13:00:18,500,IF2207,3157
16171343528410,13:00:18,500,IC2209,2120
16171855613334,13:00:19,0,IF2207,3523
16171855930023,13:00:19,0,IC2209,2355
16172366669199,13:00:19,500,IF2207,2751
16172366736232,13:00:19,500,IC2209,872
16172864579194,13:00:20,0,IF2207,2946
16172864774415,13:00:20,0,IC2209,2886
16173392029341,13:00:20,500,IF2207,3112
16173393962750,13:00:20,500,IC2209,2972
16173807830090,13:00:21,0,IF2207,2852
16173808919691,13:00:21,0,IC2209,2781
16174317015872,13:00:21,500,IF2207,2861
16174317025213,13:00:21,500,IC2209,642
16174926088368,13:00:22,0,IF2207,3272
16174926187149,13:00:22,0,IC2209,11511
16175336098658,13:00:22,500,IF2207,2772
16175336248817,13:00:22,500,IC2209,1383
16175773615997,13:00:23,0,IF2207,2841
16175779549834,13:00:23,0,IC2209,3503
16176449548436,13:00:23,500,IF2207,3173
16176449566252,13:00:23,500,IC2209,782
16176873707892,13:00:24,0,IF2207,2867
16176873719198,13:00:24,0,IC2209,667
16177370077741,13:00:24,500,IF2207,2797
16177370192363,13:00:24,500,IC2209,1459
16177883664481,13:00:25,0,IF2207,2801
16177884070338,13:00:25,0,IC2209,2977
16178290380724,13:00:25,500,IF2207,2797
16178291321675,13:00:25,500,IC2209,5983
16178819275343,13:00:26,0,IF2207,2636
16178822750666,13:00:26,0,IC2209,2817
16179332370650,13:00:26,500,IF2207,3097
16179825908472,13:00:27,0,IF2207,2611
16179825959845,13:00:27,0,IC2209,641
16180355265013,13:00:27,500,IF2207,2721
16180355274224,13:00:27,500,IC2209,632
16180851813840,13:00:28,0,IF2207,3007
