arrivaltime,exchangetime,exchangemillisec,ticker,latency
1.58519E+13,13:00:00,200,IC2207,3128
1.58519E+13,13:00:00,200,IF2207,3017
1.58524E+13,13:00:00,700,IC2207,4190
1.58524E+13,13:00:00,700,IF2207,627
1.58529E+13,13:00:01,200,IC2207,2987
1.58529E+13,13:00:01,200,IF2207,686
1.58534E+13,13:00:01,700,IC2207,2892
1.58534E+13,13:00:01,700,IF2207,641
1.5854E+13,13:00:02,200,IC2207,2892
1.5854E+13,13:00:02,200,IF2207,637
1.58545E+13,13:00:02,700,IC2207,3464
1.58545E+13,13:00:02,700,IF2207,657
1.5855E+13,13:00:03,200,IC2207,3944
1.5855E+13,13:00:03,200,IF2207,642
1.58555E+13,13:00:03,700,IC2207,3559
1.58555E+13,13:00:03,700,IF2207,552
1.5856E+13,13:00:04,200,IC2207,3163
1.5856E+13,13:00:04,200,IF2207,676
1.58565E+13,13:00:04,700,IC2207,2847
1.58565E+13,13:00:04,700,IF2207,607
1.5857E+13,13:00:05,200,IC2207,2072
1.5857E+13,13:00:05,200,IF2207,424
1.58574E+13,13:00:05,700,IC2207,3468
1.58574E+13,13:00:05,700,IF2207,637
1.5858E+13,13:00:06,200,IC2207,2718
1.5858E+13,13:00:06,200,IF2207,566
1.58585E+13,13:00:06,700,IC2207,3403
1.58585E+13,13:00:06,700,IF2207,626
1.58591E+13,13:00:07,200,IC2207,3253
1.58591E+13,13:00:07,200,IF2207,3839
1.58595E+13,13:00:07,700,IC2207,3122
1.58595E+13,13:00:07,700,IF2207,922
1.586E+13,13:00:08,200,IC2207,3213
1.586E+13,13:00:08,200,IF2207,3423
1.58605E+13,13:00:08,700,IC2207,3203
1.58605E+13,13:00:08,700,IF2207,2120
1.58609E+13,13:00:09,200,IC2207,19416
1.58609E+13,13:00:09,200,IF2207,636
1.58614E+13,13:00:09,700,IC2207,3608
1.58614E+13,13:00:09,700,IF2207,632
1.58619E+13,13:00:10,200,IC2207,3343
1.58619E+13,13:00:10,200,IF2207,682
1.58625E+13,13:00:10,700,IC2207,3087
1.58625E+13,13:00:10,700,IF2207,3047
1.5863E+13,13:00:11,200,IC2207,3458
1.5863E+13,13:00:11,200,IF2207,631
1.58636E+13,13:00:11,700,IC2207,3152
1.58636E+13,13:00:11,700,IF2207,637
1.5864E+13,13:00:12,200,IC2207,3133
1.5864E+13,13:00:12,200,IF2207,696
1.58646E+13,13:00:12,700,IC2207,3463
1.58646E+13,13:00:12,700,IF2207,632
1.58649E+13,13:00:13,200,IC2207,3493
1.58649E+13,13:00:13,200,IF2207,1263
1.58654E+13,13:00:13,700,IC2207,2913
1.58654E+13,13:00:13,700,IF2207,611
1.58659E+13,13:00:14,200,IC2207,3372
1.58659E+13,13:00:14,200,IF2207,662
1.58665E+13,13:00:14,700,IC2207,3017
1.58665E+13,13:00:14,700,IF2207,632
1.5867E+13,13:00:15,200,IC2207,4331
1.5867E+13,13:00:15,200,IF2207,672
1.58675E+13,13:00:15,700,IC2207,2907
1.58675E+13,13:00:15,700,IF2207,626
1.5868E+13,13:00:16,200,IC2207,3137
1.5868E+13,13:00:16,200,IF2207,687
1.58685E+13,13:00:16,700,IC2207,3298
1.58685E+13,13:00:16,700,IF2207,622
1.5869E+13,13:00:17,200,IC2207,3187
1.5869E+13,13:00:17,200,IF2207,657
1.58694E+13,13:00:17,700,IC2207,3584
1.58694E+13,13:00:17,700,IF2207,656
1.58699E+13,13:00:18,200,IC2207,2871
1.58699E+13,13:00:18,200,IF2207,662
1.58704E+13,13:00:18,700,IC2207,3328
1.58704E+13,13:00:18,700,IF2207,747
1.5871E+13,13:00:19,200,IC2207,3098
1.5871E+13,13:00:19,200,IF2207,636
1.58715E+13,13:00:19,700,IC2207,3268
1.58715E+13,13:00:19,700,IF2207,637
1.5872E+13,13:00:20,200,IC2207,3187
1.5872E+13,13:00:20,200,IF2207,637
1.58725E+13,13:00:20,700,IC2207,3077
1.58725E+13,13:00:20,700,IF2207,647
1.5873E+13,13:00:21,200,IC2207,3027
1.5873E+13,13:00:21,200,IF2207,652
1.58735E+13,13:00:21,700,IC2207,2751
1.58735E+13,13:00:21,700,IF2207,11702
1.58739E+13,13:00:22,200,IC2207,3854
1.58739E+13,13:00:22,200,IF2207,2816
1.58744E+13,13:00:22,700,IC2207,2977
1.58744E+13,13:00:22,700,IF2207,646
1.5875E+13,13:00:23,200,IC2207,3343
1.5875E+13,13:00:23,200,IF2207,632
1.58755E+13,13:00:23,700,IC2207,3242
1.58755E+13,13:00:23,700,IF2207,626
1.5876E+13,13:00:24,200,IC2207,3019
1.5876E+13,13:00:24,200,IF2207,513
1.58765E+13,13:00:24,700,IC2207,4350
1.58765E+13,13:00:24,700,IF2207,702
1.5877E+13,13:00:25,200,IC2207,3714
1.5877E+13,13:00:25,200,IF2207,656
1.58775E+13,13:00:25,700,IC2207,3027
1.58775E+13,13:00:25,700,IF2207,1038
1.58779E+13,13:00:26,200,IC2207,3724
1.58784E+13,13:00:26,700,IC2207,3178
1.58784E+13,13:00:26,700,IF2207,717
1.58789E+13,13:00:27,200,IC2207,3819
1.58789E+13,13:00:27,200,IF2207,627
1.58795E+13,13:00:27,700,IC2207,3202
1.58795E+13,13:00:27,700,IF2207,2130
1.588E+13,13:00:28,200,IC2207,3984
1.588E+13,13:00:28,200,IF2207,797
1.58804E+13,13:00:28,700,IC2207,3468
1.58804E+13,13:00:28,700,IF2207,646
1.5881E+13,13:00:29,200,IC2207,3143
1.5881E+13,13:00:29,200,IF2207,626
1.58815E+13,13:00:29,700,IC2207,2997
1.58815E+13,13:00:29,700,IF2207,2160
1.5882E+13,13:00:30,200,IC2207,2308
1.5882E+13,13:00:30,200,IF2207,393
1.58824E+13,13:00:30,700,IC2207,3213
1.58824E+13,13:00:30,700,IF2207,2967
1.58829E+13,13:00:31,200,IC2207,3197
1.58829E+13,13:00:31,200,IF2207,691
1.58835E+13,13:00:31,700,IC2207,3693
1.58835E+13,13:00:31,700,IF2207,627
1.5884E+13,13:00:32,200,IC2207,3002
1.5884E+13,13:00:32,200,IF2207,646
1.58845E+13,13:00:32,700,IC2207,2912
1.58845E+13,13:00:32,700,IF2207,636
1.5885E+13,13:00:33,200,IC2207,3273
1.5885E+13,13:00:33,200,IF2207,627
1.58856E+13,13:00:33,700,IC2207,3383
1.58856E+13,13:00:33,700,IF2207,651
1.5886E+13,13:00:34,200,IC2207,3047
1.5886E+13,13:00:34,200,IF2207,712
1.58864E+13,13:00:34,700,IC2207,19136
1.58864E+13,13:00:34,700,IF2207,631
1.58869E+13,13:00:35,200,IC2207,3092
1.58869E+13,13:00:35,200,IF2207,642
1.58874E+13,13:00:35,700,IC2207,3874
1.58874E+13,13:00:35,700,IF2207,637
1.5888E+13,13:00:36,200,IC2207,3092
1.5888E+13,13:00:36,200,IF2207,631
1.58885E+13,13:00:36,700,IC2207,3012
1.58885E+13,13:00:36,700,IF2207,566
1.5889E+13,13:00:37,200,IC2207,3163
1.5889E+13,13:00:37,200,IF2207,716
1.58895E+13,13:00:37,700,IC2207,3217
1.58895E+13,13:00:37,700,IF2207,3634
1.589E+13,13:00:38,200,IC2207,3138
1.589E+13,13:00:38,200,IF2207,642
1.58905E+13,13:00:38,700,IC2207,3122
1.58905E+13,13:00:38,700,IF2207,696
1.58909E+13,13:00:39,200,IC2207,3013
1.58909E+13,13:00:39,200,IF2207,631
1.58915E+13,13:00:39,700,IC2207,2947
1.58915E+13,13:00:39,700,IF2207,541
1.5892E+13,13:00:40,200,IC2207,2832
1.5892E+13,13:00:40,200,IF2207,687
1.58925E+13,13:00:40,700,IC2207,2987
1.58925E+13,13:00:40,700,IF2207,627
1.5893E+13,13:00:41,200,IC2207,3077
1.5893E+13,13:00:41,200,IF2207,652
1.58936E+13,13:00:41,700,IC2207,2942
1.58936E+13,13:00:41,700,IF2207,647
1.5894E+13,13:00:42,200,IC2207,1678
1.5894E+13,13:00:42,200,IF2207,238
1.58945E+13,13:00:42,700,IC2207,2953
1.58945E+13,13:00:42,700,IF2207,1504
1.58949E+13,13:00:43,200,IC2207,3368
1.58949E+13,13:00:43,200,IF2207,762
1.58954E+13,13:00:43,700,IC2207,3143
1.58954E+13,13:00:43,700,IF2207,641
1.58959E+13,13:00:44,200,IC2207,3288
1.58959E+13,13:00:44,200,IF2207,632
1.58965E+13,13:00:44,700,IC2207,2892
1.58965E+13,13:00:44,700,IF2207,611
1.5897E+13,13:00:45,200,IC2207,3518
1.5897E+13,13:00:45,200,IF2207,551
1.58975E+13,13:00:45,700,IC2207,2927
1.58975E+13,13:00:45,700,IF2207,772
1.5898E+13,13:00:46,200,IC2207,3764
1.5898E+13,13:00:46,200,IF2207,622
1.58985E+13,13:00:46,700,IC2207,3869
1.58985E+13,13:00:46,700,IF2207,933
1.5899E+13,13:00:47,200,IC2207,2957
1.5899E+13,13:00:47,200,IF2207,16504
1.58994E+13,13:00:47,700,IC2207,3363
1.58994E+13,13:00:47,700,IF2207,631
1.58999E+13,13:00:48,200,IC2207,3037
1.58999E+13,13:00:48,200,IF2207,546
1.59005E+13,13:00:48,700,IC2207,2767
1.59005E+13,13:00:48,700,IF2207,752
1.5901E+13,13:00:49,200,IC2207,3177
1.5901E+13,13:00:49,200,IF2207,636
1.59015E+13,13:00:49,700,IC2207,2977
1.59015E+13,13:00:49,700,IF2207,646
1.5902E+13,13:00:50,200,IC2207,3628
1.5902E+13,13:00:50,200,IF2207,676
1.59025E+13,13:00:50,700,IC2207,2982
1.59025E+13,13:00:50,700,IF2207,717
1.5903E+13,13:00:51,200,IC2207,3338
1.5903E+13,13:00:51,200,IF2207,556
1.59035E+13,13:00:51,700,IC2207,3303
1.59035E+13,13:00:51,700,IF2207,973
1.59039E+13,13:00:52,200,IC2207,3569
1.59039E+13,13:00:52,200,IF2207,636
1.59044E+13,13:00:52,700,IC2207,3002
1.59044E+13,13:00:52,700,IF2207,2926
1.5905E+13,13:00:53,200,IC2207,2867
1.5905E+13,13:00:53,200,IF2207,631
