arrivaltime,exchangetime,exchangemillisec,ticker,latency
4.28127E+12,9:30:00,300,IF2207,3969
4.28127E+12,9:30:00,300,IF2208,706
4.28178E+12,9:30:00,800,IF2207,2942
4.28178E+12,9:30:00,800,IF2208,617
4.28229E+12,9:30:01,300,IF2207,2897
4.28229E+12,9:30:01,300,IF2208,707
4.2827E+12,9:30:01,800,IF2207,2947
4.28271E+12,9:30:01,800,IF2208,3062
4.28319E+12,9:30:02,300,IF2207,2807
4.28319E+12,9:30:02,300,IF2208,701
4.28383E+12,9:30:02,800,IF2207,2896
4.28383E+12,9:30:02,800,IF2208,677
4.28423E+12,9:30:03,300,IF2207,3092
4.28423E+12,9:30:03,300,IF2208,621
4.28475E+12,9:30:03,800,IF2207,3578
4.28475E+12,9:30:03,800,IF2208,631
4.28526E+12,9:30:04,300,IF2207,4395
4.28526E+12,9:30:04,300,IF2208,737
4.28577E+12,9:30:04,800,IF2207,3092
4.28577E+12,9:30:04,800,IF2208,827
4.28628E+12,9:30:05,300,IF2207,2842
4.28628E+12,9:30:05,300,IF2208,737
4.2868E+12,9:30:05,800,IF2207,2782
4.2868E+12,9:30:05,800,IF2208,687
4.28721E+12,9:30:06,300,IF2207,2907
4.28721E+12,9:30:06,300,IF2208,617
4.28772E+12,9:30:06,800,IF2207,2657
4.28772E+12,9:30:06,800,IF2208,556
4.28823E+12,9:30:07,300,IF2207,2757
4.28823E+12,9:30:07,300,IF2208,561
4.28874E+12,9:30:07,800,IF2207,3418
4.28874E+12,9:30:07,800,IF2208,1268
4.28925E+12,9:30:08,300,IF2207,3067
4.28925E+12,9:30:08,300,IF2208,561
4.28986E+12,9:30:08,800,IF2207,18909
4.28986E+12,9:30:08,800,IF2208,717
4.29028E+12,9:30:09,300,IF2207,2802
4.29028E+12,9:30:09,300,IF2208,636
4.29079E+12,9:30:09,800,IF2207,3869
4.29079E+12,9:30:09,800,IF2208,902
4.2912E+12,9:30:10,300,IF2207,3518
4.2912E+12,9:30:10,300,IF2208,687
4.29172E+12,9:30:10,800,IF2207,4019
4.29172E+12,9:30:10,800,IF2208,757
4.29222E+12,9:30:11,300,IF2207,2610
4.29222E+12,9:30:11,300,IF2208,561
4.29273E+12,9:30:11,800,IF2207,2782
4.29273E+12,9:30:11,800,IF2208,692
4.29325E+12,9:30:12,300,IF2207,2947
4.29325E+12,9:30:12,300,IF2208,646
4.29376E+12,9:30:12,800,IF2207,3081
4.29376E+12,9:30:12,800,IF2208,561
4.29427E+12,9:30:13,300,IF2207,3052
4.29427E+12,9:30:13,300,IF2208,696
4.29478E+12,9:30:13,800,IF2207,3257
4.29478E+12,9:30:13,800,IF2208,632
4.29519E+12,9:30:14,300,IF2207,3538
4.29519E+12,9:30:14,300,IF2208,697
4.2957E+12,9:30:14,800,IF2207,3709
4.2957E+12,9:30:14,800,IF2208,627
4.29622E+12,9:30:15,300,IF2207,2941
4.29622E+12,9:30:15,300,IF2208,642
4.29673E+12,9:30:15,800,IF2207,3167
4.29673E+12,9:30:15,800,IF2208,707
4.29724E+12,9:30:16,300,IF2207,2971
4.29724E+12,9:30:16,300,IF2208,637
