arrivaltime,ticker,latency
1.96583E+13,IC2207,5899
1.96588E+13,IC2207,5661
1.96592E+13,IC2207,5795
1.96592E+13,IF2207,3300
1.96596E+13,IC2207,5966
1.96596E+13,IF2207,2364
1.96601E+13,IC2207,5878
1.96601E+13,IF2207,8107
1.96602E+13,IH2207,3641
1.96606E+13,IC2207,11697
1.96606E+13,IF2207,7145
1.96606E+13,IH2207,4464
1.96611E+13,IC2207,2402
1.96611E+13,IF2207,6068
1.96611E+13,IH2207,4621
1.96616E+13,IC2207,5067
1.96616E+13,IF2207,1070
1.96622E+13,IC2207,1975
1.96622E+13,IF2207,1433
1.96622E+13,IH2207,603
1.96631E+13,IF2207,6716
1.96631E+13,IH2207,3503
1.96631E+13,IF2207,8403
1.96631E+13,IH2207,5129
1.96637E+13,IC2207,5870
1.96637E+13,IF2207,2232
1.96637E+13,IH2207,1303
1.96641E+13,IC2207,3734
1.96641E+13,IF2207,1437
1.96641E+13,IH2207,438
1.96642E+13,IC2208,2840
1.96646E+13,IC2207,11010
1.96646E+13,IC2208,5502
1.96646E+13,IF2207,3196
1.96646E+13,IH2207,4156
1.96651E+13,IC2207,2776
1.96651E+13,IF2207,644
1.96651E+13,IH2207,1026
1.96652E+13,IF2208,2854
1.96656E+13,IC2207,4638
1.96656E+13,IC2208,1593
1.96656E+13,IF2207,1877
1.96656E+13,IF2208,8577
1.96661E+13,IC2208,6092
1.96661E+13,IF2207,8297
1.96661E+13,IH2207,5369
1.96662E+13,IH2208,4729
1.96666E+13,IC2207,5092
1.96666E+13,IC2208,8201
1.96666E+13,IF2207,6866
1.96666E+13,IH2207,4769
1.96671E+13,IC2207,2178
1.96671E+13,IC2208,1850
1.96671E+13,IF2207,1936
1.96671E+13,IH2207,705
1.96671E+13,IF2208,994
1.96675E+13,IC2207,19084
1.96675E+13,IC2208,575
1.96675E+13,IF2207,2732
1.96675E+13,IF2208,517
1.96675E+13,IH2207,2016
1.96675E+13,IH2208,1109
1.9668E+13,IC2207,8740
1.9668E+13,IC2208,3438
1.9668E+13,IF2207,5369
1.9668E+13,IF2208,4094
1.9668E+13,IH2207,3757
1.96686E+13,IC2207,4645
1.96686E+13,IC2208,1669
1.96686E+13,IF2207,542
1.96686E+13,IF2208,1929
1.96686E+13,IH2207,1082
1.96691E+13,IC2207,8963
1.96691E+13,IF2207,11921
1.96691E+13,IH2207,7470
1.96691E+13,IC2208,5052
1.96691E+13,IF2208,2085
1.96691E+13,IH2208,8218
1.96696E+13,IC2207,8507
1.96696E+13,IF2207,2505
1.96696E+13,IH2207,1064
1.96696E+13,IC2208,2481
1.96696E+13,IF2208,8740
1.96696E+13,IH2208,5828
1.967E+13,IC2207,7184
1.967E+13,IF2207,2576
1.967E+13,IH2207,1455
1.967E+13,IC2208,1847
1.967E+13,IF2208,2363
1.967E+13,IH2208,2914
1.96702E+13,IC2209,5513
1.96705E+13,IC2209,7598
1.96705E+13,IH2207,4063
1.96705E+13,IF2208,1684
1.96705E+13,IH2208,2331
1.9671E+13,IC2209,5511
1.9671E+13,IC2207,1563
1.9671E+13,IF2207,1318
1.9671E+13,IH2207,10031
1.9671E+13,IF2208,3408
1.9671E+13,IH2208,2160
1.96712E+13,IF2209,3832
1.96716E+13,IC2209,5429
1.96716E+13,IF2209,1704
1.96716E+13,IC2207,9863
1.96716E+13,IF2207,3689
1.96716E+13,IC2208,7999
1.96716E+13,IH2207,1804
1.96716E+13,IF2208,927
1.96721E+13,IC2209,30846
1.96721E+13,IF2209,19661
1.96721E+13,IC2207,13566
1.96721E+13,IF2207,7112
1.96721E+13,IH2207,11622
1.96721E+13,IC2208,15762
1.96722E+13,IH2209,9799
1.96726E+13,IC2209,6193
1.96726E+13,IF2209,2151
1.96726E+13,IH2209,1421
1.96726E+13,IC2207,1466
1.96726E+13,IC2208,1644
1.96726E+13,IF2207,8648
1.96726E+13,IH2207,5980
1.9673E+13,IF2209,3454
1.9673E+13,IC2207,2566
1.9673E+13,IF2207,804
1.9673E+13,IH2207,682
1.9673E+13,IC2208,1496
1.9673E+13,IF2208,2347
1.96735E+13,IF2209,13924
1.96735E+13,IC2207,9180
1.96735E+13,IF2207,6225
1.96735E+13,IH2207,3930
1.96735E+13,IC2208,1851
1.96735E+13,IF2208,6556
1.9674E+13,IC2209,5138
1.9674E+13,IF2209,577
1.9674E+13,IC2207,2672
1.9674E+13,IF2207,1008
1.9674E+13,IH2207,8055
1.9674E+13,IC2208,2203
1.9674E+13,IF2208,983
1.9674E+13,IH2208,1048
1.96745E+13,IC2209,5941
1.96745E+13,IF2209,1945
1.96745E+13,IH2209,1470
1.96745E+13,IC2207,9851
1.96745E+13,IF2207,2762
1.96745E+13,IC2208,6620
1.96745E+13,IF2208,1550
1.96745E+13,IH2207,1505
1.9675E+13,IC2209,2833
1.9675E+13,IF2209,2009
1.9675E+13,IH2209,1792
1.9675E+13,IC2207,2686
1.9675E+13,IF2207,1213
1.9675E+13,IC2208,6254
1.96755E+13,IC2209,6154
1.96755E+13,IF2209,2208
1.96755E+13,IH2209,9482
1.96755E+13,IC2207,3440
1.96755E+13,IF2207,8658
1.96755E+13,IH2207,4988
1.96755E+13,IC2208,2804
1.96755E+13,IF2208,998
1.96755E+13,IH2208,11224
1.9676E+13,IC2209,6459
1.9676E+13,IF2209,2672
1.9676E+13,IH2209,673
1.9676E+13,IC2207,1373
1.9676E+13,IF2207,2187
1.9676E+13,IH2207,2341
1.9676E+13,IC2208,1357
1.9676E+13,IF2208,2622
1.96766E+13,IC2209,8062
1.96766E+13,IF2209,9304
1.96766E+13,IH2209,5751
1.96766E+13,IC2207,4161
1.96766E+13,IF2207,1768
1.96766E+13,IH2207,2293
1.96766E+13,IC2208,1918
1.96766E+13,IF2208,2277
1.96766E+13,IH2208,716
1.9677E+13,IC2209,4748
1.9677E+13,IF2209,791
1.9677E+13,IH2209,915
1.9677E+13,IC2207,1994
1.9677E+13,IF2207,1822
1.9677E+13,IH2207,1635
1.9677E+13,IC2208,2142
1.9677E+13,IF2208,6730
1.9677E+13,IH2208,952
